Actual O.D 1,Actual O.D 1,Actual O.D 1,Measured 1,Measured 2,Measured 3,BLANK 1,BLANK 2,BLANK 3
0.011,0.011,0.011,0.232,0.236,0.272,0.209,0.213,0.22
0.023,0.023,0.023,0.249,0.26,0.292,,,
0.046,0.046,0.046,0.295,0.294,0.327,,,
0.093,0.093,0.093,0.351,0.364,0.401,,,
0.187,0.187,0.187,0.463,0.458,0.496,,,
0.375,0.375,0.375,0.607,0.622,0.658,,,
0.75,0.75,0.75,0.868,0.903,0.931,,,
1.5,1.5,1.5,1.151,1.189,1.223,,,
3,3,3,1.52,1.577,1.588,,,
6,6,6,1.846,1.903,1.905,,,
