Actual O.D 1,Actual O.D 1,Actual O.D 1,Measured 1,Measured 2,Measured 3,BLANK 1,BLANK 2,BLANK 3
0.011,0.011,0.011,0.329,0.368,0.321,0.209,0.213,0.22
0.023,0.023,0.023,0.322,0.385,0.307,,,
0.046,0.046,0.046,0.339,0.392,0.33,,,
0.093,0.093,0.093,0.37,0.419,0.362,,,
0.187,0.187,0.187,0.433,0.479,0.425,,,
0.375,0.375,0.375,0.532,0.567,0.552,,,
0.75,0.75,0.75,0.671,0.728,0.712,,,
1.5,1.5,1.5,0.931,0.976,0.979,,,
3,3,3,1.308,1.356,1.377,,,
6,6,6,1.711,1.715,1.725,,,
