Actual O.D 1,Actual O.D 1,Actual O.D 1,Measured 1,Measured 2,Measured 3,BLANK 1,BLANK 2,BLANK 3
0.011,0.011,0.011,0.35,0.273,0.279,0.209,0.213,0.22
0.023,0.023,0.023,0.391,0.282,0.294,,,
0.046,0.046,0.046,0.408,0.302,0.31,,,
0.093,0.093,0.093,0.439,0.348,0.353,,,
0.187,0.187,0.187,0.519,0.462,0.464,,,
0.375,0.375,0.375,0.642,0.589,0.594,,,
0.75,0.75,0.75,0.814,0.806,0.812,,,
1.5,1.5,1.5,1.123,1.125,1.125,,,
3,3,3,1.405,1.439,1.478,,,
6,6,6,1.764,1.804,1.836,,,
