Actual O.D 1,Actual O.D 1,Actual O.D 1,Measured 1,Measured 2,Measured 3,BLANK 1,BLANK 2,BLANK 3
0.011,0.011,0.011,0.189,0.195,0.188,0.209,0.213,0.22
0.023,0.023,0.023,0.192,0.199,0.19,,,
0.046,0.046,0.046,0.198,0.203,0.195,,,
0.093,0.093,0.093,0.207,0.211,0.216,,,
0.187,0.187,0.187,0.22,0.225,0.216,,,
0.375,0.375,0.375,0.273,0.288,0.283,,,
0.75,0.75,0.75,0.415,0.419,0.411,,,
1.5,1.5,1.5,0.731,0.716,0.708,,,
3,3,3,1.157,1.167,1.175,,,
6,6,6,1.485,1.731,1.742,,,
