Actual O.D 1,Actual O.D 1,Actual O.D 1,Measured 1,Measured 2,Measured 3,BLANK 1,BLANK 2,BLANK 3
0.011,0.011,0.011,0.265,0.271,0.241,0.209,0.213,0.22
0.023,0.023,0.023,0.276,0.271,0.266,,,
0.046,0.046,0.046,0.293,0.296,0.291,,,
0.093,0.093,0.093,0.331,0.333,0.333,,,
0.187,0.187,0.187,0.418,0.417,0.416,,,
0.375,0.375,0.375,0.508,0.531,0.536,,,
0.75,0.75,0.75,0.707,0.706,0.723,,,
1.5,1.5,1.5,0.98,0.983,1.024,,,
3,3,3,1.372,1.357,1.351,,,
6,6,6,1.696,1.735,1.744,,,
