"","average","sd","se"
"CENPKA",83.382470871502,2.89431546790314,0.915262914562989
"YEF473",79.2140644813653,5.95252304071341,1.88235306332856
"BY4741",108.351052660638,7.17127274734477,2.26775556039027
"BY4742",118.455712815047,16.4589056628654,5.20476296884979
"S288c",140.114174849514,24.3243258444955,7.69202722167046
"w303a",87.6576520282168,9.81856881031109,3.10490408036728
