"x","ypre","y","yfiltered","ycorrected","Upperlimit","LowerLimit","Rsquared"
1,0.735,0.506140249433107,0.298672445305239,0.483821546432896,35,15,0.970080808521658
2,0.521,0.292344712814204,0.298973016030932,0.321103048951053,0,0,0
3,0.518,0.289549176195301,0.298190140775608,0.318577655998734,0,0,0
4,0.515,0.286753639576398,0.296366847345992,0.31603902916336,0,0,0
5,0.504,0.275958102957495,0.293600399402952,0.306110443751937,0,0,0
6,0.503,0.275162566338592,0.290039836539529,0.305370881481828,0,0,0
7,0.496,0.268367029719689,0.28588320307333,0.299008927501346,0,0,0
8,0.493,0.265571493100786,0.281374536010137,0.296368526420408,0,0,0
9,0.494,0.266775956481884,0.276800629574229,0.297507813632768,0,0,0
10,0.493,0.265980419862981,0.272487571461429,0.296755607956864,0,0,0
11,0.496,0.269184883244078,0.268797020439283,0.299778830162549,0,0,0
12,0.499,0.272389346625175,0.266122170341357,0.302784249830631,0,0,0
13,0.506,0.279593810006272,0.264883327113259,0.309476478488996,0,0,0
14,0.51,0.283798273387369,0.265523013398318,0.313340812156546,0,0,0
15,0.52,0.294002736768466,0.268500508941595,0.322594622151259,0,0,0
16,0.526,0.300207200149563,0.274285738068087,0.328135293935921,0,0,0
17,0.539,0.313411663530661,0.283352428324841,0.339714797780895,0,0,0
18,0.548,0.322616126911758,0.296170484762528,0.347619044400863,0,0,0
19,0.561,0.335820590292855,0.313197551620896,0.358724824475212,0,0,0
20,0.581,0.356025053673952,0.33486976782319,0.37520761961206,0,0,0
21,0.599,0.374229517055049,0.361591760977679,0.389562359508628,0,0,0
22,0.627,0.402433980436146,0.393725960699332,0.410965457926271,0,0,0
23,0.656,0.431638443817243,0.431581346759557,0.432215087536648,0,0,0
24,0.692,0.46784290719834,0.475401785256853,0.457600227652179,0,0,0
25,0.719,0.495047370579437,0.525354149611288,0.476255779041864,0,0,0
26,0.756,0.532251833960535,0.58151648006231,0.501672101943409,0,0,0
27,0.791,0.567456297341632,0.643866511097765,0.526202260445947,0,0,0
28,0.829,0.605660760722729,0.712270980625309,0.554152331777898,0,0,0
29,0.871,0.647865224103826,0.78647621093,0.587775723410682,0,0,0
30,0.911,0.688069687484923,0.866100512185912,0.623776416647659,0,0,0
31,0.956,0.73327415086602,0.950629002671311,0.670640257609632,0,0,0
32,0.991,0.768478614247117,1.03941146417908,0.713153702324991,0,0,0
33,1.046,0.823683077628214,1.13166385436632,0.793320847190758,0,0,0
34,1.096,0.873887541009312,1.22647406115463,0.884011265284758,0,0,0
35,1.143,0.921092004390409,1.32281237224479,0.988279955618119,0,0,0
36,1.193,0.971296467771506,1.41954694044825,1.12333165590879,0,0,0
37,1.25,1.0285009311526,1.51546427719524,1.31316868226038,0,0,0
38,1.31,1.0887053945337,1.60929447215295,1.56184488239111,0,0,0
39,1.363,1.1419098579148,1.69974033946093,1.83034220047056,0,0,0
40,1.405,1.18411432129589,1.78550905245971,2.08039319085067,0,0,0
41,1.417,1.19631878467699,1.86534427100801,2.15935694615509,0,0,0
42,1.421,1.20052324805809,1.93805664651726,2.18728326012143,0,0,0
43,1.427,1.20672771143919,2.00255111850316,2.22918225595002,0,0,0
44,1.435,1.21493217482028,2.05785032208101,2.28586540707483,0,0,0
45,1.443,1.22313663820138,2.10311412132267,2.34402864717485,0,0,0
46,1.441,1.22134110158248,2.13765548564436,2.3311718137961,0,0,0
47,1.443,1.22354556496357,2.16095287063489,2.34696682419396,0,0,0
48,1.449,1.22975002834467,2.17265925166902,2.39200817438204,0,0,0
