Actual O.D 1,Actual O.D 1,Actual O.D 1,Measured 1,Measured 2,Measured 3,BLANK 1,BLANK 2,BLANK 3
0.011,0.011,0.011,0.213,0.187,0.187,0.209,0.213,0.22
0.023,0.023,0.023,0.213,0.185,0.185,,,
0.046,0.046,0.046,0.213,0.186,0.188,,,
0.093,0.093,0.093,0.218,0.193,0.195,,,
0.187,0.187,0.187,0.225,0.208,0.212,,,
0.375,0.375,0.375,0.257,0.236,0.241,,,
0.75,0.75,0.75,0.363,0.337,0.347,,,
1.5,1.5,1.5,0.541,0.542,0.553,,,
3,3,3,0.879,0.953,0.953,,,
6,6,6,1.338,1.358,1.548,,,
